source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
ng/dL,0,JNJ_CERNER_UNITS,Nanograms per Deciliter,0,,1970-01-01,2099-12-31,
ng/mL,0,JNJ_CERNER_UNITS,Nanograms per Milliliter,0,,1970-01-01,2099-12-31,
ng/mg,0,JNJ_CERNER_UNITS,Nanograms per Milligram,0,,1970-01-01,2099-12-31,
nmol,0,JNJ_CERNER_UNITS,Nanomoles,9607,UCUM,1970-01-01,2099-12-31,
nmol/g,0,JNJ_CERNER_UNITS,Nanomoles per Gram,9609,UCUM,1970-01-01,2099-12-31,
Ohm,0,JNJ_CERNER_UNITS,Ohm,9618,UCUM,1970-01-01,2099-12-31,
[oz_av],0,JNJ_CERNER_UNITS,Ounce,0,,1970-01-01,2099-12-31,
packet,0,JNJ_CERNER_UNITS,Packet,0,,1970-01-01,2099-12-31,
patch,0,JNJ_CERNER_UNITS,Patch,0,,1970-01-01,2099-12-31,
pf,0,JNJ_CERNER_UNITS,Puff,0,,1970-01-01,2099-12-31,
pg,0,JNJ_CERNER_UNITS,Picogram,8564,UCUM,1970-01-01,2099-12-31,
pg/dL,0,JNJ_CERNER_UNITS,Picograms per Deciliter,0,,1970-01-01,2099-12-31,
pg/mL,0,JNJ_CERNER_UNITS,Picograms per Milliliter,0,,1970-01-01,2099-12-31,
[ppb],0,JNJ_CERNER_UNITS,Parts per Billion,8703,UCUM,1970-01-01,2099-12-31,
[ppm],0,JNJ_CERNER_UNITS,Parts per Million,9387,UCUM,1970-01-01,2099-12-31,
scp,0,JNJ_CERNER_UNITS,Scoops,0,,1970-01-01,2099-12-31,
s,0,JNJ_CERNER_UNITS,Second,9212,UCUM,1970-01-01,2099-12-31,
spray,0,JNJ_CERNER_UNITS,Spray,0,,1970-01-01,2099-12-31,
supp,0,JNJ_CERNER_UNITS,Suppository(ies),0,,1970-01-01,2099-12-31,
U/(2.h),0,JNJ_CERNER_UNITS,Units per 2 Hours,0,,1970-01-01,2099-12-31,
u[iU]/mL,0,JNJ_CERNER_UNITS,MicroInternational Units per Milliliter,0,,1970-01-01,2099-12-31,
u[iU]/L,0,JNJ_CERNER_UNITS,MicroInternational Units per Liter,0,,1970-01-01,2099-12-31,
uU/mL,0,JNJ_CERNER_UNITS,MicroUnits per Milliliter,8860,UCUM,1970-01-01,2099-12-31,
ug/g,0,JNJ_CERNER_UNITS,Micrograms per Gram,0,,1970-01-01,2099-12-31,
ug/l dup,0,JNJ_CERNER_UNITS,Micrograms per Liter dup,0,,1970-01-01,2099-12-31,
ug/mL dup,0,JNJ_CERNER_UNITS,Micrograms per Milliliter dup,0,,1970-01-01,2099-12-31,
ug/mg,0,JNJ_CERNER_UNITS,Micrograms per Milligram,0,,1970-01-01,2099-12-31,
ug/min,0,JNJ_CERNER_UNITS,Micrograms per Minute,0,,1970-01-01,2099-12-31,
ug/ml dup,0,JNJ_CERNER_UNITS,Micrograms per Milliliter dup,0,,1970-01-01,2099-12-31,
uL,0,JNJ_CERNER_UNITS,Microliter,9665,UCUM,1970-01-01,2099-12-31,
umol/L,0,JNJ_CERNER_UNITS,Micromoles per Liter,8749,UCUM,1970-01-01,2099-12-31,
wbc,0,JNJ_CERNER_UNITS,White Blood Cells,0,,1970-01-01,2099-12-31,
wk,0,JNJ_CERNER_UNITS,Week,8511,UCUM,1970-01-01,2099-12-31,
a,0,JNJ_CERNER_UNITS,Year,9448,UCUM,1970-01-01,2099-12-31,
NULL,0,JNJ_CERNER_UNITS,NULL,0,,1970-01-01,2099-12-31,
Not Mapped,0,JNJ_CERNER_UNITS,Not Mapped,0,,1970-01-01,2099-12-31,
Unknown/Invalid,0,JNJ_CERNER_UNITS,Unknown/Invalid,0,,1970-01-01,2099-12-31,
1/2Day,0,JNJ_CERNER_UNITS,1/2 Day,0,,1970-01-01,2099-12-31,
Band(s),0,JNJ_CERNER_UNITS,Band(s),0,,1970-01-01,2099-12-31,
Carton,0,JNJ_CERNER_UNITS,Carton,45756944,SNOMED,1970-01-01,2099-12-31,
Casts,0,JNJ_CERNER_UNITS,Casts,0,,1970-01-01,2099-12-31,
Chip,0,JNJ_CERNER_UNITS,Chip,0,,1970-01-01,2099-12-31,
Copies,0,JNJ_CERNER_UNITS,Copies,0,,1970-01-01,2099-12-31,
[degF],0,JNJ_CERNER_UNITS,Degree Fahrenheit,9289,UCUM,1970-01-01,2099-12-31,
Flush,0,JNJ_CERNER_UNITS,Flush,0,,1970-01-01,2099-12-31,
Hz,0,JNJ_CERNER_UNITS,Hertz,9521,UCUM,1970-01-01,2099-12-31,
Instill,0,JNJ_CERNER_UNITS,Instill,0,,1970-01-01,2099-12-31,
M/mm,0,JNJ_CERNER_UNITS,M/mm not active,0,,1970-01-01,2099-12-31,
MMG/GM,0,JNJ_CERNER_UNITS,MMG/GM not active,0,,1970-01-01,2099-12-31,
PWDP,0,JNJ_CERNER_UNITS,Powder,0,,1970-01-01,2099-12-31,
cL,0,JNJ_CERNER_UNITS,Centiliter,9482,UCUM,1970-01-01,2099-12-31,
cg,0,JNJ_CERNER_UNITS,Centigram,9479,UCUM,1970-01-01,2099-12-31,
dL,0,JNJ_CERNER_UNITS,Deciliter,9486,UCUM,1970-01-01,2099-12-31,
dg,0,JNJ_CERNER_UNITS,Decigram,9485,UCUM,1970-01-01,2099-12-31,
dm,0,JNJ_CERNER_UNITS,Decimeter,9487,UCUM,1970-01-01,2099-12-31,
dm2,0,JNJ_CERNER_UNITS,Square Decimeter,0,,1970-01-01,2099-12-31,
g/day REMOVE,0,JNJ_CERNER_UNITS,Grams per Day REMOVE,0,,1970-01-01,2099-12-31,
g/mL,0,JNJ_CERNER_UNITS,Grams per Milliliter,0,,1970-01-01,2099-12-31,
g/kg,0,JNJ_CERNER_UNITS,Grams per Kilogram,0,,1970-01-01,2099-12-31,
